,Unnamed: 0,방송일자,채널명,프로그램시작시간,프로그램종료시간,프로그램명,방송회차명,프로그램장르소분류명,출연진내용,장르1,장르2,가구평균시청률(%),게시글수,댓글수,동영상조회(K)
49,49,20210401,JTBC,21,222637,시지프스,14회,미니시리즈,"조승우,박신혜,김병철",액션,미스터리,4.2,2390.25,12503.75,1451.25
50,50,20210414,JTBC,21,222048,로스쿨,1회,미니시리즈,"김명민,김범,류혜영",법정,,4.133333333,1564.5,11262.25,2553.25
51,51,20200210,tvN,21,224434,방법,1회,미니시리즈,"엄지원,정지소,성동일",미스터리,판타지,4.05,1565.0,5510.0,1682.666666666667
52,52,20201017,tvN,21,214915,스타트업,1회,미니시리즈,"배수지,남주혁,김선호",오피스,로맨스,4.0,9895.5,77781.75,5387.0
53,53,20210106,tvN,22,235151,여신강림,7회,미니시리즈,"문가영,차은우,황인엽",로맨스,,3.733333333,7030.75,86130.5,16085.5
54,54,20210701,tvN,22,235635,간떨어지는동거,12회,미니시리즈,"장기용,혜리,강한나",판타지,로맨스,3.733333333,2567.333333333333,20157.33333333333,11664.66666666667
55,55,20200425,tvN,21,221858,화양연화삶이꽃이되는순간,1회,미니시리즈,"유지태,이보영,진영",로맨스,,3.7,1092.0,6919.75,2307.0
56,56,20210701,MBC,21,220411,미치지않고서야,4회,미니시리즈,"정재영,문소리,이상엽",오피스,,3.566666667,690.25,2272.25,473.75
57,57,20210906,tvN,22,233946,하이클래스,1회,미니시리즈,"조여정,김지수,하준",미스터리,,3.566666667,1348.0,3154.5,3518.5
58,58,20200729,tvN,22,235408,악의꽃,1회,미니시리즈,"이준기,문채원,장희진",추리,로맨스,3.533333333,11426.66666666667,70029.0,7171.333333333333
59,59,20200106,JTBC,21,224027,검사내전,5회,미니시리즈,"이선균,정려원,이성재",법정,추리,3.5,2097.0,6807.0,1243.5
60,60,20201102,tvN,21,221117,산후조리원,1회,미니시리즈,"엄지원,박하선,장혜진",의학,,3.5,2431.0,19124.5,6827.5
61,61,20211206,SBS,21,230320,그해우리는,1회,미니시리즈,"최우식,김다미,김성철",로맨스,,3.5,4289.0,25854.5,6609.0
62,62,20210401,KBS2,21,220446,안녕나야,14회,미니시리즈,"최강희,김영광,이레",로맨스,,3.4,651.25,1811.75,354.0
63,63,20210510,tvN,21,220943,어느날우리집현관으로멸망이들어왔다,1회,미니시리즈,"박보영,서인국,이수혁",로맨스,판타지,3.35,1927.0,27237.75,7465.75
64,64,20201017,OCN,22,233920,써치,1회,미니시리즈,"장동윤,정수정,문정희",추리,수사,3.25,1474.333333333333,7849.333333333333,911.6666666666666
65,65,20200602,tvN,21,221844,아는건별로없지만가족입니다,2회,미니시리즈,"한예리,김지석,추자현",휴먼,,3.15,1520.666666666667,6333.666666666667,6046.666666666667
66,66,20211029,MBC,22,230131,뫼비우스:검은태양,1회,미니시리즈,"박하선,정문성,장영남",액션,,3.1,447.0,1317.0,279.0
67,67,20200122,MBC,21,215959,더게임0시를향하여,2회,미니시리즈,"옥택연,이연희,임주환",미스터리,범죄,3.066666667,846.6666666666666,3379.666666666667,384.3333333333333
68,68,20200525,MBC,21,220700,저녁같이드실래요,1회,미니시리즈,"송승헌,서지혜,이지훈",로맨스,,3.066666667,1084.0,5602.25,1531.75
69,69,20200706,KBS2,21,215856,그놈이그놈이다,1회,미니시리즈,"황정음,윤현민,서지훈",로맨스, 코미디,3.066666667,996.5,4294.25,689.25
70,70,20211105,tvN,22,234916,해피니스,1회,미니시리즈,"한효주,박형식,조우진",액션,판타지,3.05,3659.666666666667,16728.33333333333,2718.666666666667
71,71,20200311,tvN,22,235431,메모리스트,1회,미니시리즈,"유승호,이세영,조성하",판타지,추리,2.95,1753.25,6199.5,626.25
72,72,20211108,tvN,22,233528,어사와조이,1회,미니시리즈,"옥택연,김혜윤,양희경",사극,로맨스,2.95,1171.0,4775.666666666667,1963.666666666667
73,73,20200819,MBC,21,220008,내가가장예뻤을때,1회,미니시리즈,"임수향,지수,하석진",휴먼,,2.933333333,1576.5,7364.5,1899.25
74,74,20200708,MBC,21,215630,미쓰리는알고있다,1회,미니시리즈,"강성연,조한선,박신아",미스터리,수사,2.9,313.0,514.0,78.5
75,75,20200829,OCN,22,233804,미씽그들이있었다,1회,미니시리즈,"고수,허준호,안소희",판타지,수사,2.9,1749.0,5379.666666666667,945.6666666666666
76,76,20201202,KBS2,21,220553,바람피면죽는다,1회,미니시리즈,"조여정,고준,김영대",로맨스,코미디,2.9,927.3333333333334,1800.666666666667,438.0
