프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구시청자수(K),개인시청자수(K),남성시청자수(K),여성시청자수(K),10대시청자수(K),20대시청자수(K),30대시청자수(K),40대시청자수(K),50대시청자수(K),TVVOD시청자수(K),PC실시간(K),PCVOD(K),Mobile실시간(K),MobileVOD(K)
좀비탐정,2020.09.21,KBS2,월화,9,44,0,0,0,-,-,-,-,-,-,-,-,-,-,-,22,-,21
펜트하우스,2020.10.26,SBS,월화,"78,643","382,647","68,477","9,523",433,"3,614","5,716","2,363","3,353",330,518,658,"1,182","1,573",1.2,"5,400","20,412","26,689","136,325"
철인왕후,2020.12.12,tvN,토일,"13,987","74,482","20,694","5,002",317,"1,556","2,684","1,178","1,506",207,194,289,885,612,-,"7,601","12,509","31,434","75,857"
경이로운소문,2020.11.28,OCN,토일,"12,657","79,778","13,945","3,338",415,"1,375","2,345","1,109","1,236",233,187,303,758,556,1.6,"1,392","12,222","4,528","72,109"
여신강림,2020.12.09,tvN,수목,"8,964","97,344","21,499","6,648",319,727,"1,185",434,751,145,124,198,341,190,-,"3,311","4,652","15,625","34,264"
카이로스,2020.10.26,MBC,월화,"5,448","16,162",621,"3,130",260,531,717,305,412,22,27,58,212,156,0.3,"5,621","3,280","2,435","13,466"
허쉬,2020.12.11,JTBC,금,"5,264","14,672","1,127","4,204",227,434,695,353,341,27,64,76,143,186,-,"2,590","3,897","6,409","8,393"
구미호뎐,2020.10.07,tvN,수목,"4,706","41,400","6,119","1,312",128,"1,066","1,686",715,971,148,156,255,589,301,0.2,"2,102","5,836","10,983","32,865"
런온,2020.12.16,JTBC,수목,"4,131","20,864","1,850","3,924",291,437,718,320,397,51,49,60,214,175,-,"1,633","1,836","2,626","3,247"
오!삼광빌라!,2020.09.19,KBS2,토일,"3,787","10,732","2,986","2,347",270,"4,915","7,230","3,014","4,216",338,467,464,936,"1,720",0.5,"3,914","8,825","17,839","11,058"
